
// The Palindrome
//notes: God roll - Fluted Barrel, Ricochet Rounds, Outlaw, Rampage. Preferred MW - Handling/Range|tags:pve
dimwishlist:item=432476743&perks=1840239774,1885400500,1168162263,3425386926
dimwishlist:item=432476743&perks=1840239774,1561002382,1168162263,3425386926
dimwishlist:item=432476743&perks=1840239774,1968497646,1168162263,3425386926
dimwishlist:item=432476743&perks=1840239774,1087426260,1168162263,3425386926
dimwishlist:item=432476743&perks=3250034553,1885400500,1168162263,3425386926
dimwishlist:item=432476743&perks=3250034553,1561002382,1168162263,3425386926
dimwishlist:item=432476743&perks=3250034553,1968497646,1168162263,3425386926
dimwishlist:item=432476743&perks=3250034553,1087426260,1168162263,3425386926
dimwishlist:item=432476743&perks=1482024992,1885400500,1168162263,3425386926
dimwishlist:item=432476743&perks=1482024992,1561002382,1168162263,3425386926
dimwishlist:item=432476743&perks=1482024992,1968497646,1168162263,3425386926
dimwishlist:item=432476743&perks=1482024992,1087426260,1168162263,3425386926

// Judgement
//notes: Steadyhand HCS, Accurized, Encore, Multi-killclip|tags: pve
dimwishlist:item=1476654960&perks=1926090095,3142289711,1195158366,2458213969
